מ-,עד,שם שדה,שם משתנה,טיפוס ,קוד,מאפיינים,מקור
1,10,מספר תאונה פיקטיבי,PK_TEUNA_FIKT,N10,,,
11,18,סוג תיק,sug_tik,N8,3,כללי עם נפגעים קל,
19,26,תחום גאוגרפי,THUM_GEOGRAFI,N8,1,ישראל ללא יהודה ושומרון,
19,26,תחום גאוגרפי,THUM_GEOGRAFI,N8,2,יהודה והשומרון,
27,34,סוג דרך,SUG_DEREH,N8,1,עירוני בצומת,
27,34,סוג דרך,SUG_DEREH,N8,2,עירוני לא בצומת,
27,34,סוג דרך,SUG_DEREH,N8,3,לא עירוני בצומת,
27,34,סוג דרך,SUG_DEREH,N8,4,לא עירוני לא בצומת,
35,42,סמל ישוב,SEMEL_YISHUV,N8,,,
35,42,"ראה קובץ ""רשימת ישובים ואוכלסיתם"" בנספח המתודולוגי המצ""ב",SEMEL_YISHUV,N8,,,
43,50,רחוב 1,REHOV1,N8,,,מילון רחובות
51,58,רחוב 2,REHOV2,N8,,,מילון רחובות
59,66,מס' בית,MISPAR_BAIT,N8,,,
67,74,צומת עירוני,ZOMET_IRONI,N8,,,מילון צמתים עירוניים
75,82,דרך לא עירונית 1,KVISH1,N8,,,
83,90,דרך לא עירונית 2,KVISH2,N8,,,
91,98,"ק""מ",KM,N8,,,
91,98,"[מאות מטרים], כאשר מאות מטר לא ידוע, מסומן ""-""",KM,N8,,,
99,106,צומת לא עירוני,ZOMET_LO_IRONI,N8,,,מילון צמתים לא עירוניים
107,114,יחידה משטרתית,YEHIDA,N8,11,מרחב חוף (חיפה),
107,114,יחידה משטרתית,YEHIDA,N8,12,מרחב גליל,
107,114,יחידה משטרתית,YEHIDA,N8,14,מרחב עמקים,
107,114,יחידה משטרתית,YEHIDA,N8,20,"מרחב ת""א",
107,114,יחידה משטרתית,YEHIDA,N8,33,מרחב אילת,
107,114,יחידה משטרתית,YEHIDA,N8,34,מרחב הנגב,
107,114,יחידה משטרתית,YEHIDA,N8,36,מרחב שמשון (עד 1999),
107,114,יחידה משטרתית,YEHIDA,N8,37,מרחב שמשון (החל ב-2004),
107,114,יחידה משטרתית,YEHIDA,N8,38,מרחב לכיש,
107,114,יחידה משטרתית,YEHIDA,N8,41,מרחב שומרון,
107,114,יחידה משטרתית,YEHIDA,N8,43,מרחב יהודה,
107,114,יחידה משטרתית,YEHIDA,N8,51,מרחב השרון,
107,114,יחידה משטרתית,YEHIDA,N8,52,מרחב השפלה,
107,114,יחידה משטרתית,YEHIDA,N8,61,מחוז ירושלים,
115,122,שנת תאונה,SHNET_TEUNA,N8,,,
123,130,חודש תאונה,HODESH_TEUNA,N8,,,מילון-טבלה מס' 60
131,138,יום בחודש,YOM_BE_HODES,N8,,,מילון-טבלה מס' 97
139,146,שעה,SHAA,N8,,,מילון-טבלה מס' 93
147,154,סוג יום,SUG_YOM,N8,1,חג,
147,154,סוג יום,SUG_YOM,N8,2,ערב חג,
147,154,סוג יום,SUG_YOM,N8,3,חול המועד,
147,154,סוג יום,SUG_YOM,N8,4,יום אחר,
155,162,יום/לילה,YOM_LAYLA,N8,1,יום,
155,162,יום/לילה,YOM_LAYLA,N8,5,לילה,
163,170,יום בשבוע,YOM_BASHAVUA,N8,1,ראשון,
163,170,יום בשבוע,YOM_BASHAVUA,N8,2,שני,
163,170,יום בשבוע,YOM_BASHAVUA,N8,3,שלישי,
163,170,יום בשבוע,YOM_BASHAVUA,N8,4,רביעי,
163,170,יום בשבוע,YOM_BASHAVUA,N8,5,חמישי,
163,170,יום בשבוע,YOM_BASHAVUA,N8,6,שישי,
163,170,יום בשבוע,YOM_BASHAVUA,N8,7,שבת,
171,178,מרומזר/לא מרומזר,RAMZOR,N8,0,לא,
171,178,מרומזר/לא מרומזר,RAMZOR,N8,1,כן,
171,178,מרומזר/לא מרומזר,RAMZOR,N8,9,לא ידוע,
179,186,חומרת התאונה,HUMRAT_TEUNA,N8,1,קטלנית ,
179,186,חומרת התאונה,HUMRAT_TEUNA,N8,2,קשה,
179,186,חומרת התאונה,HUMRAT_TEUNA,N8,3,קלה,
187,194,סוג תאונה,SUG_TEUNA,N8,1,פגיעה בהולך רגל,
187,194,סוג תאונה,SUG_TEUNA,N8,2,התנגשות חזית אל צד,
187,194,סוג תאונה,SUG_TEUNA,N8,3,התנגשות חזית באחור,
187,194,סוג תאונה,SUG_TEUNA,N8,4,התנגשות צד בצד,
187,194,סוג תאונה,SUG_TEUNA,N8,5,התנגשות חזית אל חזית,
187,194,סוג תאונה,SUG_TEUNA,N8,6,התנגשות עם רכב שנעצר ללא חניה,
187,194,סוג תאונה,SUG_TEUNA,N8,7,התנגשות עם רכב חונה,
187,194,סוג תאונה,SUG_TEUNA,N8,8,התנגשות עם עצם דומם,
187,194,סוג תאונה,SUG_TEUNA,N8,9,ירידה מהכביש או עלייה למדרכה,
187,194,סוג תאונה,SUG_TEUNA,N8,10,התהפכות,
187,194,סוג תאונה,SUG_TEUNA,N8,11,החלקה,
187,194,סוג תאונה,SUG_TEUNA,N8,12,פגיעה בנוסע בתוך כלי רכב,
187,194,סוג תאונה,SUG_TEUNA,N8,13,נפילה ברכב נע,
187,194,סוג תאונה,SUG_TEUNA,N8,14,שריפה,
187,194,סוג תאונה,SUG_TEUNA,N8,15,אחר,
187,194,סוג תאונה,SUG_TEUNA,N8,17,התנגשות אחור אל חזית,
187,194,סוג תאונה,SUG_TEUNA,N8,18,התנגשות אחור אל צד,
187,194,סוג תאונה,SUG_TEUNA,N8,19,התנגשות עם בעל חיים,
187,194,סוג תאונה,SUG_TEUNA,N8,20,פגיעה ממטען של רכב,
